Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
fi	38.0	C | tekijänoikeus | tekijänoikeusmerkki	�	40.0	C | copyright	c | copyright	//ldml/annotations/annotation[@cp="©"]
fi	38.0	R | rekisteröity | rekisteröity-merkki	�	40.0	R | registered	r | registered	//ldml/annotations/annotation[@cp="®"]
fi	38.0	merkki | tavaramerkki | TM	�	40.0	mark | TM | trade mark | trademark	mark | tm | trade mark | trademark	//ldml/annotations/annotation[@cp="™"]
fi	38.0	epäyhtäläisyys | pienempi kuin | pienempi tai yhtä suuri kuin | yhtä suuri | yhtäsuuruus	�	39.0	equal | equals | inequality | less-than | less-than or equal	equal | equals | inequality | less-than or equal | less-then	//ldml/annotations/annotation[@cp="≤"]
fi	38.0	m | m ympyrässä | metro | ympyrä	�	40.0	circle | circled M | M	circle | circled M | m	//ldml/annotations/annotation[@cp="Ⓜ"]
fi	38.0	a | A-veriryhmä | veriryhmä	�	40.0	A | A button (blood type) | blood type	a | A button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅰"]
fi	38.0	b | B-veriryhmä | veriryhmä	�	40.0	B | B button (blood type) | blood type	b | B button (blood type) | blood type	//ldml/annotations/annotation[@cp="🅱"]
fi	38.0	o | O-veriryhmä | veriryhmä	�	40.0	blood type | O | O button (blood type)	blood type | o | O button (blood type)	//ldml/annotations/annotation[@cp="🅾"]
fi	38.0	merkki | p | P | parkkipaikka | pysäköinti	�	40.0	P | P button | parking	P button | parking	//ldml/annotations/annotation[@cp="🅿"]
fi	38.0	ab | AB-veriryhmä | veriryhmä	�	40.0	AB | AB button (blood type) | blood type	ab | AB button (blood type) | blood type	//ldml/annotations/annotation[@cp="🆎"]
fi	38.0	cl | kumita | pyyhi | pyyhi-näppäin	�	40.0	CL | CL button	cl | CL button	//ldml/annotations/annotation[@cp="🆑"]
fi	38.0	COOL | laatikko | siistiä | teksti	�	40.0	COOL | COOL button	cool | COOL button	//ldml/annotations/annotation[@cp="🆒"]
fi	38.0	FREE | ilmainen | laatikko | teksti	�	40.0	FREE | FREE button	free | FREE button	//ldml/annotations/annotation[@cp="🆓"]
fi	38.0	henkilöllisyystodistus | id | ID | identiteetti	�	40.0	ID | ID button | identity	id | ID button | identity	//ldml/annotations/annotation[@cp="🆔"]
fi	38.0	laatikko | NEW | teksti | uusi | uutta	�	40.0	NEW | NEW button	new | NEW button	//ldml/annotations/annotation[@cp="🆕"]
fi	38.0	good | moka | ng | NG | no | teksti	�	40.0	NG | NG button	ng | NG button	//ldml/annotations/annotation[@cp="🆖"]
