# Grammatical Features
Icelandic	is	grammaticalCase	general	nominative, accusative, genitive, dative
Icelandic	is	grammaticalDefiniteness	general	indefinite, definite
Icelandic	is	grammaticalGender	general	masculine, feminine, neuter

# Minimal Pairs
Plural	one	{0} dagur	<div class='cldr_example'><span class='cldr_substituted'>1</span> dagur</div><div class='cldr_example'>❌  <span class='cldr_substituted'>2</span> dagur</div>
Plural	other	{0} dagar	<div class='cldr_example'><span class='cldr_substituted'>2</span> dagar</div><div class='cldr_example'>❌  <span class='cldr_substituted'>1</span> dagar</div>
Case (for measurement units)	nominative	hér er {0}	<div class='cldr_example'>hér er <span class='cldr_substituted'>2 ástralskir bollar</span></div><div class='cldr_example'>❌  hér er <span class='cldr_substituted'>2 ástralska bolla</span></div>
Case (for measurement units)	accusative	um {0}	<div class='cldr_example'>um <span class='cldr_substituted'>2 ástralska bolla</span></div><div class='cldr_example'>❌  um <span class='cldr_substituted'>1 áströlskum bolla</span></div>
Case (for measurement units)	genitive	til {0}	<div class='cldr_example'>til <span class='cldr_substituted'>2 ástralskra bolla</span></div><div class='cldr_example'>❌  til <span class='cldr_substituted'>2 ástralska bolla</span></div>
Case (for measurement units)	dative	frá {0}	<div class='cldr_example'>frá <span class='cldr_substituted'>1 áströlskum bolla</span></div><div class='cldr_example'>❌  frá <span class='cldr_substituted'>2 ástralska bolla</span></div>
Gender (for measurement units)	masculine	Einn {0} eftir	<div class='cldr_example'>Einn <span class='cldr_substituted'>metri</span> eftir</div><div class='cldr_example'>❌  Einn <span class='cldr_substituted'>klukkustund</span> eftir</div>
Gender (for measurement units)	feminine	Ein {0} eftir	<div class='cldr_example'>Ein <span class='cldr_substituted'>klukkustund</span> eftir</div><div class='cldr_example'>❌  Ein <span class='cldr_substituted'>metri</span> eftir</div>
Gender (for measurement units)	neuter	Eitt {0} eftir	<div class='cldr_example'>Eitt <span class='cldr_substituted'>mól</span> eftir</div><div class='cldr_example'>❌  Eitt <span class='cldr_substituted'>klukkustund</span> eftir</div>

# Unit Case and Gender Info
acceleration	meters per second squared	n/a	n/a	nominative	{0} metri á sekúndu, á sekúndu	hér er 21 metri á sekúndu, á sekúndu	{0} metrar á sekúndu, á sekúndu	hér er 2 metrar á sekúndu, á sekúndu
acceleration	meters per second squared	n/a	n/a	accusative	{0} metri á sekúndu, á sekúndu	um 21 metri á sekúndu, á sekúndu	{0} metrar á sekúndu, á sekúndu	um 2 metrar á sekúndu, á sekúndu
acceleration	meters per second squared	n/a	n/a	genitive	{0} metri á sekúndu, á sekúndu	til 21 metri á sekúndu, á sekúndu	{0} metrar á sekúndu, á sekúndu	til 2 metrar á sekúndu, á sekúndu
acceleration	meters per second squared	n/a	n/a	dative	{0} metri á sekúndu, á sekúndu	frá 21 metri á sekúndu, á sekúndu	{0} metrar á sekúndu, á sekúndu	frá 2 metrar á sekúndu, á sekúndu
acceleration	g-force ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	nominative	{0} þyngdarhröðun	hér er 21 þyngdarhröðun	{0} þyngdarhröðun	hér er 2 þyngdarhröðun
acceleration	g-force ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	accusative	{0} þyngdarhröðun	um 21 þyngdarhröðun	{0} þyngdarhröðun	um 2 þyngdarhröðun
acceleration	g-force ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	genitive	{0} þyngdarhröðunar	til 21 þyngdarhröðunar	{0} þyngdarhröðunar	til 2 þyngdarhröðunar
acceleration	g-force ( = 9.80665 m/s²)	feminine	Ein þyngdarhröðun eftir	dative	{0} þyngdarhröðun	frá 21 þyngdarhröðun	{0} þyngdarhröðun	frá 2 þyngdarhröðun
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	nominative	{0} bogasekúnda	hér er 21 bogasekúnda	{0} bogasekúndur	hér er 2 bogasekúndur
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	accusative	{0} bogasekúndu	um 21 bogasekúndu	{0} bogasekúndur	um 2 bogasekúndur
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	genitive	{0} bogasekúndu	til 21 bogasekúndu	{0} bogasekúndna	til 2 bogasekúndna
angle	arc-second ( = 0.0000007˙716049382 rev)	feminine	Ein bogasekúnda eftir	dative	{0} bogasekúndu	frá 21 bogasekúndu	{0} bogasekúndum	frá 2 bogasekúndum
angle	arc-minute ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	nominative	{0} bogamínúta	hér er 21 bogamínúta	{0} bogamínútur	hér er 2 bogamínútur
angle	arc-minute ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	accusative	{0} bogamínútu	um 21 bogamínútu	{0} bogamínútur	um 2 bogamínútur
angle	arc-minute ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	genitive	{0} bogamínútu	til 21 bogamínútu	{0} bogamínútna	til 2 bogamínútna
angle	arc-minute ( = 0.00004˙629 rev)	feminine	Ein bogamínúta eftir	dative	{0} bogamínútu	frá 21 bogamínútu	{0} bogamínútum	frá 2 bogamínútum
angle	degree ( = 0.002˙7 rev)	feminine	Ein gráða eftir	nominative	{0} gráða	hér er 21 gráða	{0} gráður	hér er 2 gráður
angle	degree ( = 0.002˙7 rev)	feminine	Ein gráða eftir	accusative	{0} gráða	um 21 gráða	{0} gráður	um 2 gráður
angle	degree ( = 0.002˙7 rev)	feminine	Ein gráða eftir	genitive	{0} gráða	til 21 gráða	{0} gráður	til 2 gráður
angle	degree ( = 0.002˙7 rev)	feminine	Ein gráða eftir	dative	{0} gráða	frá 21 gráða	{0} gráður	frá 2 gráður
angle	radian ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	nominative	{0} radían	hér er 21 radían	{0} radíanar	hér er 2 radíanar
angle	radian ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	accusative	{0} radían	um 21 radían	{0} radían	um 2 radían
angle	radian ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	genitive	{0} radíans	til 21 radíans	{0} radíans	til 2 radíans
angle	radian ( = ~0.1591549430918953 rev)	masculine	Einn radían eftir	dative	{0} radíani	frá 21 radíani	{0} radíani	frá 2 radíani
angle	revolutions	masculine	Einn snúningur eftir	nominative	{0} snúningur	hér er 21 snúningur	{0} snúningar	hér er 2 snúningar
angle	revolutions	masculine	Einn snúningur eftir	accusative	{0} snúning	um 21 snúning	{0} snúninga	um 2 snúninga
angle	revolutions	masculine	Einn snúningur eftir	genitive	{0} snúnings	til 21 snúnings	{0} snúninga	til 2 snúninga
angle	revolutions	masculine	Einn snúningur eftir	dative	{0} snúningi	frá 21 snúningi	{0} snúningum	frá 2 snúningum
area	square centimeters	n/a	n/a	nominative	{0} fersentimetri	hér er 21 fersentimetri	{0} fersentimetrar	hér er 2 fersentimetrar
area	square centimeters	n/a	n/a	accusative	{0} fersentimetri	um 21 fersentimetri	{0} fersentimetrar	um 2 fersentimetrar
area	square centimeters	n/a	n/a	genitive	{0} fersentimetri	til 21 fersentimetri	{0} fersentimetrar	til 2 fersentimetrar
area	square centimeters	n/a	n/a	dative	{0} fersentimetri	frá 21 fersentimetri	{0} fersentimetrar	frá 2 fersentimetrar
area	square meters	n/a	n/a	nominative	{0} fermetri	hér er 21 fermetri	{0} fermetrar	hér er 2 fermetrar
area	square meters	n/a	n/a	accusative	{0} fermetri	um 21 fermetri	{0} fermetrar	um 2 fermetrar
area	square meters	n/a	n/a	genitive	{0} fermetri	til 21 fermetri	{0} fermetrar	til 2 fermetrar
area	square meters	n/a	n/a	dative	{0} fermetri	frá 21 fermetri	{0} fermetrar	frá 2 fermetrar
area	hectares	masculine	Einn hektari eftir	nominative	{0} hektari	hér er 21 hektari	{0} hektarar	hér er 2 hektarar
area	hectares	masculine	Einn hektari eftir	accusative	{0} hektara	um 21 hektara	{0} hektara	um 2 hektara
area	hectares	masculine	Einn hektari eftir	genitive	{0} hektara	til 21 hektara	{0} hektara	til 2 hektara
area	hectares	masculine	Einn hektari eftir	dative	{0} hektara	frá 21 hektara	{0} hekturum	frá 2 hekturum
area	square kilometers	n/a	n/a	nominative	{0} ferkílómetri	hér er 21 ferkílómetri	{0} ferkílómetrar	hér er 2 ferkílómetrar
area	square kilometers	n/a	n/a	accusative	{0} ferkílómetri	um 21 ferkílómetri	{0} ferkílómetrar	um 2 ferkílómetrar
area	square kilometers	n/a	n/a	genitive	{0} ferkílómetri	til 21 ferkílómetri	{0} ferkílómetrar	til 2 ferkílómetrar
area	square kilometers	n/a	n/a	dative	{0} ferkílómetri	frá 21 ferkílómetri	{0} ferkílómetrar	frá 2 ferkílómetrar
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	nominative	{0} millimól á lítra	hér er 21 millimól á lítra	{0} millimól á lítra	hér er 2 millimól á lítra
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	accusative	{0} millimól á lítra	um 21 millimól á lítra	{0} millimól á lítra	um 2 millimól á lítra
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	genitive	{0} millimól á lítra	til 21 millimól á lítra	{0} millimól á lítra	til 2 millimól á lítra
concentration	millimole-per-liter ( = 602,214,076,000,000,000,000,000 items per cubic meter)	n/a	n/a	dative	{0} millimól á lítra	frá 21 millimól á lítra	{0} millimól á lítra	frá 2 millimól á lítra
