#Language	English Name	Native Name	Script	Default Region	№ Locales	Target Level	≟	Computed Level	ICU	Confirmed	🄼%	ⓜ%	ⓑ%	ⓒ%	Missing Features
af	Afrikaans	Afrikaans	Latn	ZA	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
am	Amharic	አማርኛ	Ethi	ET	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ar	Arabic	‫العربية‬	Arab	EG	28	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
az	Azeri	azərbaycan	Latn	AZ	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ca	Catalan	català	Latn	ES	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
el	Greek	Ελληνικά	Grek	GR	2	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
en	English	English	Latn	US	124	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
es	Spanish	español	Latn	ES	28	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
fil	Filipino	Filipino	Latn	PH	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
gu	Gujarati	ગુજરાતી	Gujr	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
he	Hebrew	‫עברית‬	Hebr	IL	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
hi_Latn	Hindi (Latin)	Hindi [Latin]	Latn	IN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
id	Indonesian	Indonesia	Latn	ID	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
it	Italian	italiano	Latn	IT	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ja	Japanese	日本語	Jpan	JP	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
kk	Kazakh	қазақ тілі	Cyrl	KZ	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ko	Korean	한국어	Kore	KR	3	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ky	Kyrgyz	кыргызча	Cyrl	KG	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ms	Malay	Melayu	Latn	MY	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
nl	Dutch	Nederlands	Latn	NL	7	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
pt	Portuguese	português	Latn	BR	12	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ru	Russian	русский	Cyrl	RU	6	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
sv	Swedish	svenska	Latn	SE	3	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
ta	Tamil	தமிழ்	Taml	IN	4	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
th	Thai	ไทย	Thai	TH	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
vi	Vietnamese	Tiếng Việt	Latn	VN	1	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
zh	Chinese	中文	Hans	CN	5	modern	 ≡	modern	ICU	1.0	1.0	1.0	1.0	1.0	
pl	Polish	polski	Latn	PL	1	modern	 ≡	modern	ICU	1.0	0.9999393571861734	1.0	1.0	1.0	🄼 digits_ordinals
uk	Ukrainian	українська	Cyrl	UA	1	modern	 ≡	modern	ICU	1.0	0.999938574938575	1.0	1.0	1.0	🄼 spellout_ordinal
lt	Lithuanian	lietuvių	Latn	LT	1	modern	 ≡	modern	ICU	1.0	0.999938256359595	1.0	1.0	1.0	🄼 digits_ordinals
sr	Serbian	српски	Cyrl	RS	4	modern	 ≡	modern	ICU	1.0	0.9999284948158742	1.0	1.0	1.0	🄼 digits_ordinals
hr	Croatian	hrvatski	Latn	HR	2	modern	 ≡	modern	ICU	1.0	0.9999276044306088	1.0	1.0	1.0	🄼 digits_ordinals
ro	Romanian	română	Latn	RO	2	modern	 ≡	modern	ICU	1.0	0.9999236582945263	1.0	1.0	1.0	🄼 spellout_ordinal
de	German	Deutsch	Latn	DE	7	modern	 ≡	modern	ICU	1.0	0.999921017297212	1.0	1.0	1.0	🄼 digits_ordinals
fi	Finnish	suomi	Latn	FI	1	modern	 ≡	modern	ICU	1.0	0.9999200831135618	1.0	1.0	1.0	🄼 digits_ordinals
