Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
ast	22.1	HH	�	23.1	HH	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="H"]
ast	22.1	h a	�	23.1	h a	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="h"]
ast	22.1	d – d MMM	�	24.0	MMM d – d	MMM d–d	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/intervalFormats/intervalFormatItem[@id="MMMd"]/greatestDifference[@id="d"]
ast	22.1	Hora de Reunión	�	33.0	Réunion Time	Reunion Time	//ldml/dates/timeZoneNames/metazone[@type="Reunion"]/long/standard
ast	22.1	{0}, {1}	�	24.0	{0}, {1}	�	//ldml/listPatterns/listPattern/listPatternPart[@type="middle"]
ast	22.1	{0}, {1}	�	24.0	{0}, {1}	�	//ldml/listPatterns/listPattern/listPatternPart[@type="start"]
ast	22.1	bengalín	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/languages/language[@type="bn"]
ast	22.1	haitianu	�	28.0	Haitian Creole	Haitian	//ldml/localeDisplayNames/languages/language[@type="ht"]
ast	22.1	kirguistanín	�	24.0	Kyrgyz	Kirghiz	//ldml/localeDisplayNames/languages/language[@type="ky"]
ast	22.1	maorí	�	trunk	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
ast	22.1	oriya	�	30.0	Odia	Oriya	//ldml/localeDisplayNames/languages/language[@type="or"]
ast	22.1	uigur	�	23.1	Uyghur	Uighur	//ldml/localeDisplayNames/languages/language[@type="ug"]
ast	22.1	llingua desconocida	�	30.0	Unknown language	Unknown Language	//ldml/localeDisplayNames/languages/language[@type="und"]
ast	22.1	{0}: {1}	�	24.0	{0}: {1}	�	//ldml/localeDisplayNames/localeDisplayPattern/localeKeyTypePattern
ast	22.1	bengalín	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/scripts/script[@type="Beng"]
ast	22.1	oriya	�	30.0	Odia	Oriya	//ldml/localeDisplayNames/scripts/script[@type="Orya"]
ast	22.1	Mundu	�	39.0	world	World	//ldml/localeDisplayNames/territories/territory[@type="001"]
ast	22.1	Sureste Asiáticu	�	26.0	Southeast Asia	South-Eastern Asia	//ldml/localeDisplayNames/territories/territory[@type="035"]
ast	22.1	Antigua y Barbuda	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
ast	22.1	Bosnia y Herzegovina	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
ast	22.1	San Bartolomé	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/localeDisplayNames/territories/territory[@type="BL"]
ast	22.1	Chequia	�	31.0	Czechia	Czech Republic	//ldml/localeDisplayNames/territories/territory[@type="CZ"]
ast	22.1	Ceuta y Melilla	�	26.0	Ceuta & Melilla	Ceuta and Melilla	//ldml/localeDisplayNames/territories/territory[@type="EA"]
ast	22.1	Islles Xeorxa del Sur y Sandwich del Sur	�	24.0	South Georgia & South Sandwich Islands	South Georgia and the South Sandwich Islands	//ldml/localeDisplayNames/territories/territory[@type="GS"]
ast	22.1	Saint Kitts y Nevis	�	26.0	St. Kitts & Nevis	Saint Kitts and Nevis	//ldml/localeDisplayNames/territories/territory[@type="KN"]
ast	22.1	Santa Llucía	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
ast	22.1	Saint Martin	�	26.0	St. Martin	Saint Martin	//ldml/localeDisplayNames/territories/territory[@type="MF"]
ast	22.1	ARE China de Macáu	�	35.0	Macao SAR China	Macau SAR China	//ldml/localeDisplayNames/territories/territory[@type="MO"]
ast	22.1	Macáu	�	35.0	Macao	Macau	//ldml/localeDisplayNames/territories/territory[@type="MO"][@alt="short"]
ast	22.1	Saint Pierre y Miquelon	�	26.0	St. Pierre & Miquelon	Saint Pierre and Miquelon	//ldml/localeDisplayNames/territories/territory[@type="PM"]
ast	22.1	Svalbard ya Islla Jan Mayen	�	26.0	Svalbard & Jan Mayen	Svalbard and Jan Mayen	//ldml/localeDisplayNames/territories/territory[@type="SJ"]
ast	22.1	Santu Tomé y Príncipe	�	26.0	São Tomé & Príncipe	São Tomé and Príncipe	//ldml/localeDisplayNames/territories/territory[@type="ST"]
ast	22.1	Suazilandia	�	35.0	Eswatini	Swaziland	//ldml/localeDisplayNames/territories/territory[@type="SZ"]
ast	22.1	Islles Turques y Caicos	�	26.0	Turks & Caicos Islands	Turks and Caicos Islands	//ldml/localeDisplayNames/territories/territory[@type="TC"]
ast	22.1	Trinidá y Tobagu	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
ast	22.1	Wallis y Futuna	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
ast	22.1	corona checa	�	31.0	Czech koruna	Czech Republic koruna	//ldml/numbers/currencies/currency[@type="CZK"]/displayName[@count="one"]
ast	22.1	corones cheques	�	31.0	Czech korunas	Czech Republic korunas	//ldml/numbers/currencies/currency[@type="CZK"]/displayName[@count="other"]
ast	22.1	llibra esterlina	�	27.0	British Pound	British Pound Sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName
ast	22.1	llibra esterlina	�	27.0	British pound	British pound sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName[@count="one"]
ast	22.1	llibres esterlines	�	27.0	British pounds	British pounds sterling	//ldml/numbers/currencies/currency[@type="GBP"]/displayName[@count="other"]
ast	22.1	ariary malgaxe	�	27.0	Malagasy ariary	Malagasy Ariary	//ldml/numbers/currencies/currency[@type="MGA"]/displayName[@count="one"]
ast	22.1	ariarys malgaxes	�	27.0	Malagasy ariaries	Malagasy Ariaries	//ldml/numbers/currencies/currency[@type="MGA"]/displayName[@count="other"]
ast	22.1	kyat de Myanmar	�	24.0	Myanmar Kyat	Myanma Kyat	//ldml/numbers/currencies/currency[@type="MMK"]/displayName
ast	22.1	kyat de Myanmar	�	24.0	Myanmar kyat	Myanma kyat	//ldml/numbers/currencies/currency[@type="MMK"]/displayName[@count="one"]
ast	22.1	kyats de Myanmar	�	24.0	Myanmar kyats	Myanma kyats	//ldml/numbers/currencies/currency[@type="MMK"]/displayName[@count="other"]
ast	22.1	kwacha malauianu	�	27.0	Malawian kwacha	Malawian Kwacha	//ldml/numbers/currencies/currency[@type="MWK"]/displayName[@count="one"]
ast	22.1	kwachas malauianos	�	27.0	Malawian kwachas	Malawian Kwachas	//ldml/numbers/currencies/currency[@type="MWK"]/displayName[@count="other"]
ast	22.1	pesu filipín	�	32.0	Philippine Piso	Philippine Peso	//ldml/numbers/currencies/currency[@type="PHP"]/displayName
ast	22.1	pesu filipín	�	32.0	Philippine piso	Philippine peso	//ldml/numbers/currencies/currency[@type="PHP"]/displayName[@count="one"]
ast	22.1	pesos filipinos	�	32.0	Philippine pisos	Philippine pesos	//ldml/numbers/currencies/currency[@type="PHP"]/displayName[@count="other"]
ast	22.1	llibra de Santa Lena	�	26.0	St. Helena Pound	Saint Helena Pound	//ldml/numbers/currencies/currency[@type="SHP"]/displayName
ast	22.1	llibra de Santa Lena	�	26.0	St. Helena pound	Saint Helena pound	//ldml/numbers/currencies/currency[@type="SHP"]/displayName[@count="one"]
