Loc	Version	Value	PrevValue	EVersion	EValue	EPrevValue	Path
or	1.4.1	ଓଡ଼ିଆ	ଓଡ଼ିଆ	30.0	Odia	Oriya	//ldml/localeDisplayNames/languages/language[@type="or"]
or	1.7.2	MMMM d	d MMMM	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="gregorian"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
or	1.7.2	ବାସା	�	2.0.1	Basaa	Basa	//ldml/localeDisplayNames/languages/language[@type="bas"]
or	1.7.2	ହୈତାୟିନ୍	�	28.0	Haitian Creole	Haitian	//ldml/localeDisplayNames/languages/language[@type="ht"]
or	1.7.2	ମାଓରୀ	�	trunk	Māori	Maori	//ldml/localeDisplayNames/languages/language[@type="mi"]
or	1.7.2	ମିକମୌକ୍	�	30.0	Mi'kmaq	Micmac	//ldml/localeDisplayNames/languages/language[@type="mic"]
or	1.7.2	ବିବିଧ ଭାଷାମାନ	�	30.0	Multiple languages	Multiple Languages	//ldml/localeDisplayNames/languages/language[@type="mul"]
or	1.7.2	କ୍ରୀକ୍	�	36.0	Muscogee	Creek	//ldml/localeDisplayNames/languages/language[@type="mus"]
or	1.7.2	ଟୋଙ୍ଗା	�	2.0.1	Tongan	Tonga	//ldml/localeDisplayNames/languages/language[@type="to"]
or	1.7.2	ୟୁଘୁର୍	�	23.1	Uyghur	Uighur	//ldml/localeDisplayNames/languages/language[@type="ug"]
or	1.7.2	ୱାଲମୋ	�	22.1	Wolaytta	Walamo	//ldml/localeDisplayNames/languages/language[@type="wal"]
or	1.7.2	ବଙ୍ଗାଳୀ	�	30.0	Bangla	Bengali	//ldml/localeDisplayNames/scripts/script[@type="Beng"]
or	1.7.2	ଆଣ୍ଟିଗୁଆ ଏବଂ ବାରବୁଦା	�	26.0	Antigua & Barbuda	Antigua and Barbuda	//ldml/localeDisplayNames/territories/territory[@type="AG"]
or	1.7.2	ବୋସନିଆ ଏବଂ ହର୍ଜଗୋଭିନା	�	26.0	Bosnia & Herzegovina	Bosnia and Herzegovina	//ldml/localeDisplayNames/territories/territory[@type="BA"]
or	1.7.2	ସେଣ୍ଟ ବାର୍ଥେଲେମି	�	26.0	St. Barthélemy	Saint Barthélemy	//ldml/localeDisplayNames/territories/territory[@type="BL"]
or	1.7.2	ସେଣ୍ଟ ଲୁସିଆ	�	26.0	St. Lucia	Saint Lucia	//ldml/localeDisplayNames/territories/territory[@type="LC"]
or	1.7.2	ସେଣ୍ଟ ମାର୍ଟିନ୍	�	26.0	St. Martin	Saint Martin	//ldml/localeDisplayNames/territories/territory[@type="MF"]
or	1.7.2	ସେଣ୍ଟ ହେଲେନା	�	26.0	St. Helena	Saint Helena	//ldml/localeDisplayNames/territories/territory[@type="SH"]
or	1.7.2	ସାଓ ଟୋମେ ଏବଂ ପ୍ରିନସିପି	�	26.0	São Tomé & Príncipe	São Tomé and Príncipe	//ldml/localeDisplayNames/territories/territory[@type="ST"]
or	1.7.2	ତ୍ରିନିଦାଦ୍ ଏବଂ ଟୋବାଗୋ	�	26.0	Trinidad & Tobago	Trinidad and Tobago	//ldml/localeDisplayNames/territories/territory[@type="TT"]
or	1.7.2	ସେଣ୍ଟ ଭିନସେଣ୍ଟ ଏବଂ ଦି ଗ୍ରେନାଡିସ୍	�	24.0	St. Vincent & Grenadines	Saint Vincent and the Grenadines	//ldml/localeDisplayNames/territories/territory[@type="VC"]
or	1.7.2	ୱାଲିସ୍ ଏବଂ ଫୁତୁନା	�	26.0	Wallis & Futuna	Wallis and Futuna	//ldml/localeDisplayNames/territories/territory[@type="WF"]
or	23.1	MMMM d	�	28.0	MMMM d	�	//ldml/dates/calendars/calendar[@type="generic"]/dateTimeFormats/availableFormats/dateFormatItem[@id="MMMMd"]
