# Section	Page	Header	Code	Old	New
Supplemental	Alias	language	no-reason	legacy	▷removed◁
Supplemental	Alias	language	no-replacement	nb	▷removed◁
Supplemental	Alias	language	nor-replacement	…	no
Supplemental	Alias	unit	milligram-per-deciliter-reason	▷missing◁	deprecated
Supplemental	Alias	unit	milligram-per-deciliter-replacement	▷missing◁	milligram-ofglucose-per-deciliter
Supplemental	IdValidity	language	deprecated	…	…
Supplemental	IdValidity	language	regular	…	… no …
Supplemental	IdValidity	unit	deprecated	…	… concentr-milligram-per-deciliter …
Supplemental	IdValidity	unit	regular	…	… concentr-milligram-ofglucose-per-deciliter … concentr-ofglucose …
Supplemental	Locale	Parent	no	▷missing◁	nb
Supplemental	Locale	Parent	no	▷missing◁	nn
Supplemental	Locale	DefaultContent	plain	…	… nb …
Supplemental	WZoneMapping	E. Africa Standard Time	SS	Africa/Juba	▷removed◁
Supplemental	WZoneMapping	South Africa Standard Time	SS	▷missing◁	Africa/Juba
Supplemental	WZoneMapping	US Mountain Standard Time	CA	▷missing◁	America/Creston America/Dawson_Creek America/Fort_Nelson
Supplemental	WZoneMapping	Yukon Standard Time	CA	…	America/Whitehorse America/Dawson
Supplemental	Units	concentration/blood-glucose	001	▷missing◁	milligram-ofglucose-per-deciliter
Supplemental	Units	consumption-inverse/default	001	kilometer-per-centiliter	▷removed◁
Supplemental	Units	consumption-inverse/vehicle-fuel	001	kilometer-per-centiliter	▷removed◁
Supplemental	Units	consumption-inverse/vehicle-fuel	CA	mile-per-gallon-imperial	▷removed◁
Supplemental	Units	consumption-inverse/vehicle-fuel	GB	mile-per-gallon-imperial	▷removed◁
Supplemental	Units	consumption-inverse/vehicle-fuel	US	mile-per-gallon	▷removed◁
Supplemental	Units	consumption/vehicle-fuel	CA	▷missing◁	mile-per-gallon-imperial
Supplemental	Units	consumption/vehicle-fuel	GB	▷missing◁	mile-per-gallon-imperial
Supplemental	Units	consumption/vehicle-fuel	US	▷missing◁	mile-per-gallon
Supplemental	Units	length/road	001:10-skeleton	▷missing◁	precision-increment/10
Supplemental	Units	length/road	GB:10-skeleton	▷missing◁	precision-increment/10
Supplemental	Units	length/road	SE:10-skeleton	▷missing◁	precision-increment/10
Supplemental	Units	length/road	US:10-skeleton	▷missing◁	precision-increment/10
Supplemental	Units	length/road	001-skeleton	…	precision-increment/1
Supplemental	Units	length/road	GB-skeleton	▷missing◁	precision-increment/1
Supplemental	Units	length/road	SE-skeleton	…	precision-increment/1
Supplemental	Units	length/road	US-skeleton	…	precision-increment/1
Supplemental	Units	length/road	001:10	▷missing◁	meter
Supplemental	Units	length/road	GB:10	▷missing◁	yard
Supplemental	Units	length/road	SE:10	▷missing◁	meter
Supplemental	Units	length/road	US:10	▷missing◁	foot
Supplemental	Units	mass-density/blood-glucose	001	milligram-per-deciliter	▷removed◁
Supplemental	Units	Constant	glucose_molar_mass-value	▷missing◁	180.1557
Supplemental	Units	Constant	item_per_mole-value	▷missing◁	6.02214076E+23
Supplemental	Units	Quantity	item-per-kilogram-value	▷missing◁	concentration-mass
Supplemental	Units	Quantity	kilogram-meter-per-meter-square-second-value	torque	▷removed◁
Supplemental	Units	Convert	ofglucose-baseUnit	▷missing◁	item-per-kilogram
Supplemental	Units	Convert	mole-factor	…	item_per_mole
Supplemental	Units	Convert	ofglucose-factor	▷missing◁	1000*item_per_mole/glucose_molar_mass
Supplemental	Units	Convert	100-kilometer-systems	▷missing◁	metric
Supplemental	Units	Convert	ampere-systems	▷missing◁	metric
Supplemental	Units	Convert	ampere-systems	▷missing◁	si
Supplemental	Units	Convert	bar-systems	▷missing◁	metric
Supplemental	Units	Convert	candela-systems	▷missing◁	metric
Supplemental	Units	Convert	candela-systems	▷missing◁	si
Supplemental	Units	Convert	carat-systems	▷missing◁	metric
Supplemental	Units	Convert	celsius-systems	▷missing◁	metric
Supplemental	Units	Convert	cup-metric-systems	▷missing◁	metric
Supplemental	Units	Convert	day-person-systems	▷missing◁	metric
Supplemental	Units	Convert	day-person-systems	▷missing◁	uksystem
Supplemental	Units	Convert	day-person-systems	▷missing◁	ussystem
Supplemental	Units	Convert	day-systems	▷missing◁	metric
Supplemental	Units	Convert	day-systems	▷missing◁	uksystem
Supplemental	Units	Convert	day-systems	▷missing◁	ussystem
Supplemental	Units	Convert	gram-systems	▷missing◁	metric
Supplemental	Units	Convert	gram-systems	▷missing◁	si
Supplemental	Units	Convert	hectare-systems	▷missing◁	metric
Supplemental	Units	Convert	hertz-systems	▷missing◁	metric
Supplemental	Units	Convert	hertz-systems	▷missing◁	si
Supplemental	Units	Convert	hour-systems	▷missing◁	metric
Supplemental	Units	Convert	hour-systems	▷missing◁	uksystem
Supplemental	Units	Convert	hour-systems	▷missing◁	ussystem
Supplemental	Units	Convert	joule-systems	▷missing◁	metric
Supplemental	Units	Convert	joule-systems	▷missing◁	si
Supplemental	Units	Convert	kelvin-systems	▷missing◁	metric
Supplemental	Units	Convert	kelvin-systems	▷missing◁	si
Supplemental	Units	Convert	kilogram-systems	▷missing◁	metric
Supplemental	Units	Convert	kilogram-systems	▷missing◁	si
Supplemental	Units	Convert	liter-systems	▷missing◁	metric
Supplemental	Units	Convert	lumen-systems	▷missing◁	metric
Supplemental	Units	Convert	lumen-systems	▷missing◁	si
Supplemental	Units	Convert	lux-systems	▷missing◁	metric
Supplemental	Units	Convert	lux-systems	▷missing◁	si
Supplemental	Units	Convert	meter-systems	▷missing◁	metric
Supplemental	Units	Convert	meter-systems	▷missing◁	si
Supplemental	Units	Convert	metric-ton-systems	▷missing◁	metric
Supplemental	Units	Convert	mile-scandinavian-systems	▷missing◁	metric
Supplemental	Units	Convert	minute-systems	▷missing◁	metric
Supplemental	Units	Convert	minute-systems	▷missing◁	uksystem
Supplemental	Units	Convert	minute-systems	▷missing◁	ussystem
Supplemental	Units	Convert	mole-systems	▷missing◁	metric
Supplemental	Units	Convert	mole-systems	▷missing◁	si
Supplemental	Units	Convert	newton-systems	▷missing◁	metric
Supplemental	Units	Convert	newton-systems	▷missing◁	si
Supplemental	Units	Convert	ohm-systems	▷missing◁	metric
Supplemental	Units	Convert	ohm-systems	▷missing◁	si
Supplemental	Units	Convert	pascal-systems	▷missing◁	metric
Supplemental	Units	Convert	pascal-systems	▷missing◁	si
Supplemental	Units	Convert	pint-metric-systems	▷missing◁	metric
Supplemental	Units	Convert	radian-systems	▷missing◁	metric
Supplemental	Units	Convert	radian-systems	▷missing◁	si
Supplemental	Units	Convert	second-systems	▷missing◁	metric
Supplemental	Units	Convert	second-systems	▷missing◁	si
Supplemental	Units	Convert	second-systems	▷missing◁	uksystem
Supplemental	Units	Convert	second-systems	▷missing◁	ussystem
Supplemental	Units	Convert	volt-systems	▷missing◁	metric
Supplemental	Units	Convert	volt-systems	▷missing◁	si
Supplemental	Units	Convert	watt-systems	▷missing◁	metric
Supplemental	Units	Convert	watt-systems	▷missing◁	si
Supplemental	LanguageMatch	written_new	am_Ethi-en_Latn-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	am_Ethi-en_Latn-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	am-en-distance	▷missing◁	30
Supplemental	LanguageMatch	written_new	am-en-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	bal-ur-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	bal-ur-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	bo_Tibt-zh_Hans-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	bo_Tibt-zh_Hans-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	bo-zh-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	bo-zh-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	ca-es-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	ca-es-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	cs-sk-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	mai-hi-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	mai-hi-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	nb-no-distance	▷missing◁	1
Supplemental	LanguageMatch	written_new	no-nb-distance	1	▷removed◁
Supplemental	LanguageMatch	written_new	uk-ru-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	uk-ru-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	za_Latn-zh_Hans-distance	▷missing◁	10
Supplemental	LanguageMatch	written_new	za_Latn-zh_Hans-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	za-zh-distance	▷missing◁	20
Supplemental	LanguageMatch	written_new	za-zh-oneway	▷missing◁	true
Supplemental	LanguageMatch	written_new	zh_Hans-zh_Hant-distance	15	▷removed◁
Supplemental	LanguageMatch	written_new	zh_Hans-zh_Hant-oneway	true	▷removed◁
Supplemental	LanguageMatch	written_new	zh_Hant-zh_Hans-distance	19	▷removed◁
Supplemental	LanguageMatch	written_new	zh_Hant-zh_Hans-oneway	true	▷removed◁
Supplemental	LanguageGroup	gmq	parent-child	…	… no …
Supplemental	Grammar	Case	nominal-am	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-am	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-az	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-az	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-az	▷missing◁	dative
Supplemental	Grammar	Case	nominal-az	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-az	▷missing◁	locative
Supplemental	Grammar	Case	nominal-az	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-el	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-el	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-el	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-el	▷missing◁	vocative
Supplemental	Grammar	Case	nominal-hr	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-hr	▷missing◁	dative
Supplemental	Grammar	Case	nominal-hr	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-hr	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-hr	▷missing◁	locative
Supplemental	Grammar	Case	nominal-hr	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-hr	▷missing◁	vocative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	adessive
Supplemental	Grammar	Case	nominal-hu	▷missing◁	allative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	causal
Supplemental	Grammar	Case	nominal-hu	▷missing◁	dative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	delative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	elative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	essive
Supplemental	Grammar	Case	nominal-hu	▷missing◁	illative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	inessive
Supplemental	Grammar	Case	nominal-hu	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-hu	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	sublative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	superessive
Supplemental	Grammar	Case	nominal-hu	▷missing◁	terminative
Supplemental	Grammar	Case	nominal-hu	▷missing◁	translative
Supplemental	Grammar	Case	nominal-hy	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-hy	▷missing◁	dative
Supplemental	Grammar	Case	nominal-hy	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-hy	▷missing◁	locative
Supplemental	Grammar	Case	nominal-hy	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-is	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-is	▷missing◁	dative
Supplemental	Grammar	Case	nominal-is	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-is	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-kk	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-kk	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-kk	▷missing◁	dative
Supplemental	Grammar	Case	nominal-kk	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-kk	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-kk	▷missing◁	locative
Supplemental	Grammar	Case	nominal-kk	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-ky	▷missing◁	ablative
Supplemental	Grammar	Case	nominal-ky	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-ky	▷missing◁	dative
Supplemental	Grammar	Case	nominal-ky	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-ky	▷missing◁	locative
Supplemental	Grammar	Case	nominal-ky	▷missing◁	nominative
Supplemental	Grammar	Case	nominal-lt	▷missing◁	accusative
Supplemental	Grammar	Case	nominal-lt	▷missing◁	dative
Supplemental	Grammar	Case	nominal-lt	▷missing◁	genitive
Supplemental	Grammar	Case	nominal-lt	▷missing◁	instrumental
Supplemental	Grammar	Case	nominal-lt	▷missing◁	locative
